,Count,Postings in Cluster,Ratio
0,156,632,0.2468354430379747
1,35,17,2.0588235294117645
2,117,148,0.7905405405405406
3,448,220,2.036363636363636
4,187,385,0.4857142857142857
5,315,415,0.7590361445783133
6,162,65,2.4923076923076923
7,180,90,2.0
8,110,68,1.6176470588235294
9,170,63,2.6984126984126986
10,119,49,2.4285714285714284
11,198,112,1.7678571428571428
12,444,1020,0.43529411764705883
13,227,92,2.467391304347826
14,215,107,2.0093457943925235
15,188,97,1.9381443298969072
16,277,64,4.328125
17,65,37,1.7567567567567568
18,83,28,2.9642857142857144
19,297,103,2.883495145631068
